msg.ui.tab.encrypted.authFailed	密码不正确。
msg.ui.vm.captureScreen.clipboardSuccess	屏幕截图已保存到主机剪贴板。\n
msg.ui.vm.captureScreen.diskSuccessFmt	屏幕截图已保存到主机的 %s 文件夹。\n
msg.ui.vm.captureScreen.prefInstructions	可以在“编辑”>“首选项”>“工作区”中更改屏幕截图首选项。
msg.ui.vm.captureScreen.screenshotError	截取虚拟机屏幕时发生未知错误。
msg.ui.vm.captureScreen.desktop	桌面
msg.ui.vm.captureScreen.savefailed	无法将捕获的屏幕截图保存到 %s。请确保您对磁盘具有写入权限。
msg.ui.vm.menu.removableDev.disconnect	断开连接(_C)
msg.ui.vm.menu.removableDev.connectToHost	断开连接(_C)(连接到主机)
msg.ui.vm.menu.removableDev.connect	连接(_C)
msg.ui.vm.menu.removableDev.disconnectFrom	连接(_C)(与 %s 断开连接)
msg.ui.vm.menu.removableDev.disconnectFromHost	连接(_C)(与主机断开连接)
msg.ui.linux.vm.movieLed	影片捕获指示灯
msg.ui.linux.vmTabInventory.vmTabs	打开虚拟机选项卡
msg.ui.vm.captureScreen.prefs.errormsg.pick1	必须至少选择一种屏幕截图保存类型。
msg.ui.vm.captureScreen.prefs.ask	始终询问位置
msg.ui.vm.captureScreen.prefs.auto	保存到桌面
msg.ui.vm.captureScreen.prefs.saveCustom	保存到 %s
msg.ui.vm.captureScreen.prefs.browse	浏览自定义位置...
msg.ui.vm.powerOnDelay.prefs.label	打开多台虚拟机电源之间的间隔秒数(_P)：
msg.ui.vm.captureScreen.prefs.label	将屏幕截图保存到：
msg.ui.vm.captureScreen.prefs.clipboard.accel	剪贴板(_B)
msg.ui.vm.captureScreen.prefs.file.accel	文件(_L)：
msg.ui.wizard.vm.guestinfo.admin.fullname	您输入的全名可能与客户机操作系统中的内置帐户冲突。如果冲突，安装程序可能会要求您输入新的全名。是否继续？
msg.ui.wizard.vm.guestinfo.bad.serialNum	您为 %s 安装输入的序列号不正确。必须按以下格式输入序列号：\n\tXXXXX-XXXXX-XXXXX-XXXXX-XXXXX。
msg.ui.wizard.vm.guestinfo.empty.fullname	必须输入全名。这将用作客户机操作系统中的帐户名。
msg.ui.wizard.vm.guestinfo.empty.username	必须为客户机上的帐户输入用户名。这将用于登录客户机。
msg.ui.wizard.vm.guestinfo.bad.gecos	您输入的全名无效。全名不得包含字符 ':'、'\'、'='、'"' 或 ','。
msg.ui.wizard.vm.guestinfo.bad.username	您输入的用户名无效。用户名只能包含小写字符、数字 0 到 9 或短横线。
msg.ui.wizard.vm.guestinfo.bad.password	您输入的密码无效。密码不得连续包含字符 ']]>'。
msg.ui.wizard.vm.guestinfo.bad.gecos2	您输入的全名无效。全名不得连续包含字符 ']]>'。
msg.ui.wizard.vm.guestinfo.root.username	您输入的用户名是客户机操作系统保留的用户名。
msg.ui.wizard.vm.guestinfo.pwd.tooShort	密码长度必须至少为 %u 个字符。
msg.ui.wizard.vm.guestinfo.fullname.tooLong	对于所选客户机操作系统，全名长度不能超过 %u 个字符。
msg.ui.wizard.vm.guestinfo.username.tooLong	对于所选客户机操作系统，用户名长度不能超过 %u 个字符。
msg.ui.wizard.vm.guestinfo.pwd.mismatch	您键入的密码不匹配。请在两个文本框中键入相同的密码。
msg.ui.wizard.vm.guestinfo.empty.password	必须为客户机上的帐户输入密码。这将用于登录客户机。
msg.ui.wizard.vm.guestinfo.no.serialNumVista	您未输入 Windows 产品密钥。Windows 可以在没有产品密钥的情况下安装，但稍后必须手动激活。是否继续？
msg.ui.wizard.vm.guestinfo.no.serialNum	您未输入 Windows 产品密钥。简易安装可能会要求您在安装过程中输入该密钥。是否继续？
msg.ui.wizard.vm.guestid.empty.drive	将客户机操作系统安装光盘插入 CD 驱动器 (%s)，或选择其他选项以继续。
msg.ui.wizard.vm.guestid.empty.iso	文件位置格式错误。请提供可访问的映像文件位置，或选择其他选项以继续。
msg.ui.wizard.vm.guestid.iso.notExists	映像文件不存在。请提供可访问的映像文件位置，或选择其他选项以继续。
msg.ui.wizard.vm.guestid.iso.unreadable	您没有打开该映像文件的权限。请提供可访问的映像文件位置，或选择其他选项以继续。
msg.ui.wizard.vm.name.format	%s (%%d)
msg.ui.wizard.vm.networkType.none	无
msg.ui.linux.about.STR	关于 %s
msg.ui.linux.productInformation	产品信息
msg.ui.linux.productColon	产品：
msg.ui.linux.versionColon	版本：
msg.ui.linux.supportInformation	支持信息
msg.ui.linux.productExpirationColon	产品到期时间：
msg.ui.linux.additionalInformation	其他信息
msg.ui.linux.hostnameColon	主机名：
msg.ui.linux.Mb.INT	%d MB
msg.ui.linux.memoryColon	内存：
msg.ui.linux.hostOsVersionColon	主机操作系统版本：
msg.ui.linux.currentUiLogFileColon	UI 日志文件：
msg.ui.linux.currentPasswordColon.accel	当前密码(_P)：
msg.ui.linux.changePassword	更改密码
msg.ui.linux.youMustEnterYourCurrentPeriod	必须输入当前密码才能更改密码。
msg.ui.wizard.vm.summary.header	将使用以下设置创建虚拟机：
msg.ui.wizard.vmsummary.os	操作系统：
msg.ui.wizard.vm.summary.name	名称：
msg.ui.wizard.vm.summary.location	位置：
msg.ui.wizard.vm.summary.version	版本：
msg.ui.wizard.vm.summary.hardDisk	硬盘：
msg.ui.wizard.vm.summary.memory	内存：
msg.ui.wizard.vm.summary.megabytes	%u MB
msg.ui.wizard.vm.summary.network	网络适配器：
msg.ui.wizard.vm.summary.otherDevices	其他设备：
msg.ui.wizard.vm.guestid.disc.insert	将安装光盘插入此驱动器以继续。
msg.ui.wizard.vm.guestid.image.select	选择安装光盘映像以继续。
msg.ui.wizard.vm.guestid.unrecognized.disc	无法检测此光盘中的操作系统。您需要指定要安装的操作系统。
msg.ui.wizard.vm.guestid.unrecognized.image	无法检测此映像中的操作系统。您需要指定要安装的操作系统。
msg.ui.wizard.vm.guestid.notAnImage	此文件不是有效的光盘映像。请确保已选择正确的文件。
msg.ui.wizard.vm.guestid.notADisc	此 CD 的内容似乎无效。请确保光盘未损坏。
msg.ui.wizard.vm.guestid.recognized	检测到 %s。
msg.ui.wizard.vm.guestid.recognizedSecondaryDisc	要使用简易安装，请插入该套件的第一张光盘。
msg.ui.wizard.vm.guestid.easilyinstallable	此操作系统将使用简易安装。
msg.ui.wizard.vm.guestid.reading.disc	正在读取光盘...
msg.ui.wizard.vm.guestid.reading.image	正在读取映像...
msg.ui.wizard.vm.guestid.image.inaccessible	无法读取此文件。请指定其他文件或选择其他选项以继续。
msg.ui.wizard.vm.guestid.device.unavailable	无法访问此设备。请指定其他设备或选择其他选项以继续。
msg.ui.linux.newPassword	新密码(_P)：
msg.ui.linux.password	密码(_P)：
msg.ui.linux.confirmColon	确认(_M)：
msg.ui.linux.encryptionType	加密内容
msg.ui.linux.rememberPassword	记住密码(_R)
msg.ui.linux.error	错误
msg.ui.linux.hint	提示
msg.ui.linux.information	信息
msg.ui.linux.dlgLanSegments.conflictingName	名称“%s”与现有的 LAN 区段冲突。请选择其他名称。
msg.ui.linux.dlgLanSegments.title	全局 LAN 区段
msg.ui.linux.dlgLanSegments.columns.name	名称
msg.ui.linux.messageLog	消息日志
msg.ui.linux.summary	摘要
msg.ui.linux.time	时间
msg.ui.linux.detail	详细信息
msg.ui.linux.oldPasswordColon	旧密码(_O)：
msg.ui.linux.progress	进度
msg.ui.linux.question	问题
msg.ui.linux.neverShowThisHint	不再显示此提示(_H)
msg.ui.linux.warning	警告
msg.ui.tab.encrypted.unlock	继续(_C)
msg.ui.linux.enabled.accel	已启用(_E)
msg.ui.linux.readonly.accel	只读(_D)
msg.ui.linux.thePathDoesNotExistPeriod	该路径不在此主机上。
msg.ui.linux.addASharedFolder	添加共享文件夹
msg.ui.linux.sharedFolderProperties	共享文件夹属性 - %s
msg.ui.linux.name.accel	名称(_N)
msg.ui.linux.hostPath.accel	主机路径(_P)
msg.ui.linux.browseForHostPath	浏览主机路径
msg.ui.linux.attributes	属性
msg.ui.linux.guestOperatingSystem	客户机操作系统
msg.ui.linux.versionColon.accel	版本(_V)：
msg.ui.linux.statusBar.messageLog	消息日志
msg.ui.linux.openMessageLog.accel	打开消息日志(_O)
msg.ui.linux.clearMessages.accel	清除消息(_C)
msg.ui.linux.partition	分区
msg.ui.linux.fileSystem	文件系统
msg.ui.linux.capacity	容量
msg.ui.linux.serverSettings.proxyCredentials	代理凭据
msg.ui.linux.serverSettings.title	连接设置
msg.ui.linux.serverSettings.server	更新服务器
msg.ui.linux.serverSettings.proxy	代理设置
msg.ui.linux.serverSettings.sourceNone	不使用代理(_N)
msg.ui.linux.serverSettings.sourceHostDescription	对主机系统上代理设置的更改在重新启动 %s 之前不会生效。
msg.ui.linux.serverSettings.sourceHost	系统代理设置(_S)
msg.ui.linux.serverSettings.proxyServer.address	地址(_A)：
msg.ui.linux.serverSettings.proxyServer.port	端口(_P)：
msg.ui.linux.serverSettings.sourceUrl	手动代理设置(_M)
msg.ui.linux.serverSettings.proxyUsername	用户名(_U)：
msg.ui.linux.serverSettings.proxyPassword	密码(_W)：
msg.ui.linux.remoteVMConnProxySettings.proxy.noProxyAddress	继续之前请输入代理地址。
msg.ui.linux.remoteVMConnProxySettings.proxy.badProxyAddress	继续之前请输入有效的主机名、IPv4 或 IPv6 地址。
msg.ui.linux.remoteVMConnProxySettings.proxy.badProxyPort	继续之前请输入介于 %d 和 %d 之间的代理端口。
msg.ui.linux.remoteVMConnProxySettings.proxy.badProxyPassword	密码需要用户名。
msg.ui.linux.remoteVMConnProxySettings.proxy.proxyCredentials	代理凭据(可选)
msg.ui.linux.remoteVMConnProxySettings.tittle	远程虚拟机连接的代理设置
msg.ui.linux.remoteVMConnProxySettings.proxy.proxySettings	代理设置
msg.ui.linux.remoteVMConnProxySettings.proxy.type	类型(_T)：
msg.ui.linux.remoteVMConnProxySettings.proxy.address	地址(_A)：
msg.ui.linux.remoteVMConnProxySettings.proxy.port	端口(_P)：
msg.ui.linux.remoteVMConnProxySettings.proxy.username	用户名(_U)：
msg.ui.linux.remoteVMConnProxySettings.proxy.password	密码(_W)：
msg.ui.linux.CouldNotFindASuitable.STR	%s 无法找到合适的默认浏览器，因此无法提供您请求的信息。请安装 Google Chrome 或 Mozilla Firefox。如果要使用其他 Web 浏览器，请将以下内容放入 %s/preferences 文件：\n\npref.webBrowser = "/path/to/browser"
msg.ui.linux.device.connection	连接
msg.ui.linux.device.useOssColonSlashDevSlashDsp.accel	使用开放声音系统 (OSS)：/dev/dsp
msg.ui.linux.device.audio.error.fileDevDspDoesNotExist	系统上不存在文件 /dev/dsp。请确保系统支持开放声音系统 (OSS)。可以尝试安装 OSS Proxy Daemon (osspd 软件包) 或 snd-pcm-oss 内核模块。
msg.ui.linux.device.usePhysicalSoundAdapterColon.accel	使用物理声卡(_P)：
msg.ui.linux.device.deviceColon.alt2	设备(_I)：
msg.ui.vmsettings.cdrom.useISO	使用 ISO 映像(_M)：
msg.ui.vmsettings.cdrom.useLocalISO	使用本地 ISO 映像(_M)：
msg.ui.vmsettings.cdrom.useSessionISO	本次会话使用 ISO 映像(_M)：
msg.ui.vmsettings.cdrom.useRemoteISO	使用远程 ISO 映像(_M)：
msg.ui.vmsettings.cdrom.usePersistentISO	跨会话使用 ISO 映像(_M)：
msg.ui.wizard.hardware.cddvd_image.dlgtitle	浏览 CD/DVD 映像文件
msg.ui.vmsettings.cdrom.host	主机(_H)
msg.ui.vmsettings.cdrom.client	客户机(_C)
msg.ui.linux.device.cpuCustom	%d
msg.ui.linux.device.cpu.processors	处理器
msg.ui.linux.device.numberOfProcessors	处理器数量(_E)：
msg.ui.linux.device.numberOfCoresPerSocket	每个处理器的内核数(_U)：
msg.ui.linux.device.totalProcessorCores	处理器内核总数：
msg.ui.linux.device.cpu.error.multicoreNotSupported.ws	除非升级虚拟硬件，否则无法使用当前的多核 CPU 配置。要升级虚拟硬件，请选择“虚拟机”>“管理”>“更改硬件兼容性”。
msg.ui.linux.device.cpu.virtualizationEngine	虚拟化引擎
msg.ui.linux.device.cpu.virtHV	虚拟化 Intel VT-x/EPT 或 AMD-V/RVI(_I)
msg.ui.linux.device.cpu.CPUCompatibiliy	CPU 兼容性
msg.ui.linux.device.cpu.selectMode	模式：
msg.ui.linux.device.deviceColon.alt1	设备(_V)：
msg.ui.linux.floppy.useImage.accel	使用软盘映像(_I)：
msg.ui.linux.floppy.useLocalImage.accel	使用本地软盘映像(_I)：
msg.ui.linux.floppy.useSessionImage.accel	本次会话使用软盘映像(_I)：
msg.ui.linux.floppy.useRemoteImage.accel	使用远程软盘映像(_I)：
msg.ui.linux.floppy.usePersistentImage.accel	跨会话使用软盘映像(_I)：
msg.ui.linux.device.unableToCreateFloppyPeriod	无法创建软盘映像：%s。
msg.ui.linux.device.createEllipsis.accel	创建(_T)...
msg.ui.linux.device.readOnly.accel	只读(_Y)
msg.ui.linux.device.browseForFloppyImage	浏览软盘映像文件
msg.ui.linux.device.createFloppyImage	创建软盘映像文件
msg.ui.linux.device.deviceColon	设备(_D)：
msg.ui.linux.device.UsePhysical.accel	使用物理驱动器(_U)：
msg.ui.linux.device.UseLocalPhysical.accel	使用本地物理驱动器(_U)：
msg.ui.linux.device.UseSessionPhysical.accel	本次会话使用物理驱动器(_U)：
msg.ui.linux.device.UseRemotePhysical.accel	使用远程物理驱动器(_U)：
msg.ui.linux.device.UsePersistentPhysical.accel	跨会话使用物理驱动器(_U)：
msg.ui.linux.device.OnAnotherConsole.accel	继续使用另一个控制台。
msg.ui.linux.device.useOutputFileColon.accel	使用输出文件(_F)：
msg.ui.linux.device.useLocalOutputFileColon.accel	使用本地输出文件(_F)：
msg.ui.linux.device.useSessionOutputFileColon.accel	本次会话使用输出文件(_F)：
msg.ui.linux.device.useRemoteOutputFileColon.accel	使用远程输出文件(_F)：
msg.ui.linux.device.usePersistentOutputFileColon.accel	跨会话使用输出文件(_F)：
msg.ui.linux.device.useNamedPipe.accel	使用套接字(命名管道)(_K)
msg.ui.linux.device.physicalSCSIDevice.accel	物理 SCSI 设备(_P)：
msg.ui.linux.device.netError	加载网络时出错：%s。
msg.ui.linux.device.namedNetwork.format.accel	命名网络 (%s)(_M)
msg.ui.linux.device.networkConnection	网络连接
msg.ui.linux.device.natUsedToShareThe.accel	NAT：用于共享主机的 IP 地址(_T)
msg.ui.linux.device.hostonlyAPrivateNetwork.accel	仅主机：与主机共享的专用网络(_Y)
msg.ui.linux.device.customSpecificVirtual.accel	自定义：特定虚拟网络(_U)
msg.ui.linux.device.lanSegment.accel	LAN 区段：与其他标准虚拟机共享的专用网络(_L)
msg.ui.linux.device.monitorDevice.accel	监控设备(_M)
msg.ui.linux.device.namedNetwork.accel	命名网络(_M)
msg.ui.linux.device.virtualSwitch.accel	分布式虚拟交换机(_B)
msg.ui.linux.device.nic.linkState	复制物理网络连接状态(_W)
msg.ui.linux.device.bridgedConnectedDirectly.accel	桥接：直接连接到物理网络(_I)
msg.ui.linux.device.useAPhysicalParallelColon.accel	使用物理并行端口(_I)：
msg.ui.wizard.hardware.parallel_file.dlgtitle	保存并行端口输出文件
msg.ui.linux.device.unableToSaveDevicePeriod.STR	无法保存 %s 设备：请指定物理设备。
msg.ui.linux.device.invalidInput	“%s”与列表中的任何可用项都不匹配：请从列表中选择有效的设备。
msg.ui.linux.device.useAPhysicalSerialColon.accel	使用物理串行端口(_I)：
msg.ui.wizard.hardware.serial_file.dlgtitle	保存串行端口输出文件
msg.ui.linux.device.deviceStatus	设备状态
msg.ui.linux.device.connected	已连接(_E)
msg.ui.linux.device.connectAtPowerOn.accel	开机时连接(_N)
msg.ui.linux.device.nodeCtl.deviceNotSupported	此控制器不支持此设备。
msg.ui.linux.device.DeviceNodeYouSelected	您选择的设备节点正由 %s 使用。
msg.ui.linux.device.busNotSupported	此总线不支持此设备。
msg.ui.linux.device.BusFullNoMoreDevices	总线已满。无法再添加设备。
msg.ui.linux.device.virtualDeviceNode	虚拟设备节点
msg.ui.linux.device.sata	SATA
msg.ui.linux.device.scsi	SCSI
msg.ui.linux.device.ide	IDE
msg.ui.linux.device.nvme	NVMe
msg.ui.linux.device.node.sata	SATA(_A)：
msg.ui.linux.device.node.scsi	SCSI(_I)：
msg.ui.linux.device.node.ide	IDE(_D)：
msg.ui.linux.device.node.nvme	NVMe(_V)：
msg.ui.linux.device.virtualDeviceNode.accel	虚拟设备节点(_V)
msg.ui.linux.device.unableToSaveDisplay	无法保存“显示器”属性：%s
msg.ui.linux.device.svgaCustom	自定义：%s
msg.ui.linux.device.svgaRecommended	%s (推荐)
msg.ui.linux.device.3DGraphics	3D 图形
msg.ui.linux.device.accelerate3D.accel	加速 3D 图形(_3)
msg.ui.linux.device.monitors	显示器
msg.ui.linux.device.useHostSettingsFor.accel	对显示器使用主机设置(_U)
msg.ui.linux.device.specifySettingsForColon.accel	为显示器指定设置(_E)：
msg.ui.linux.device.numberOfMonitorsColon.accel	显示器数量(_N)：
msg.ui.linux.device.maximumResolutionColon.accel	任一显示器的最大分辨率(_M)：
msg.ui.linux.device.multipleMonitorSupportPeriod	多显示器支持仅适用于硬件版本最新的虚拟机。如果要使用多个显示器，请升级虚拟机。
msg.ui.linux.device.multipleMonitorWarning	手动指定显示器的数量和大小可能会导致全屏模式无法正常工作。
msg.ui.linux.device.videoMemory	图形内存
msg.ui.linux.device.vtpmWarning	移除 TPM 将导致此虚拟机上的所有加密数据无法恢复。
msg.ui.linux.autoProtect.enabled	已启用
msg.ui.linux.autoProtect.disabled	已禁用
msg.ui.linux.autoProtect.unavailable	不可用
msg.ui.linux.autoProtect.frequency.halfHourly	每半小时
msg.ui.linux.autoProtect.frequency.hourly	每小时
msg.ui.linux.autoProtect.frequency.daily	每天
msg.ui.linux.autoProtect.frequency.custom	自定义
msg.ui.vmsettings.cdrom.legacyEmulation.desc	在物理设备上使用旧版模拟(_L)。
msg.ui.linux.sharedFolders	共享文件夹
msg.ui.linux.disabled	已禁用
msg.ui.linux.enabled	已启用
msg.ui.linux.disabled.accel	已禁用(_B)
msg.ui.linux.alwaysEnabled.accel	始终启用(_E)
msg.ui.linux.enabledUntilNextPower.accel	在下次关机或挂起之前启用(_N)
msg.ui.linux.mapDrive.accel	在 Windows 客户机中映射为网络驱动器(_M)
msg.ui.linux.sharedFoldersWithoutTools	要在虚拟机开机时修改共享文件夹，客户机操作系统中必须安装并运行 VMware Tools。
msg.ui.linux.folders	文件夹
msg.ui.linux.folderSharing	文件夹共享
msg.ui.linux.name	名称
msg.ui.linux.hostPath	主机路径
msg.ui.linux.sharedFoldersExposePeriod	共享文件夹会将您的文件暴露给虚拟机中的程序。这可能会使您的计算机和数据面临风险。只有在信任虚拟机不会滥用您的数据时，才启用共享文件夹。
msg.ui.vmsettings.serial.iomode	I/O 模式
msg.ui.vmsettings.serial.yielddesc	允许客户机操作系统以轮询模式(而非中断模式)使用此串行端口。
msg.ui.vmsettings.serial.yieldcpu	轮询时让出 CPU(_Y)
msg.ui.vmsettings.serial.thinprint.explanation	虚拟打印机支持已停止提供。请移除该设备。
msg.ui.vmsettings.serial.thinprint.unavailable	此服务器不支持虚拟打印机设备。
msg.ui.linux.snapshot.unavailable	不可用
msg.ui.linux.clear.accel	清除(_C)
msg.ui.linux.back.accel	上一步(_B)
msg.ui.linux.next.accel	下一步(_N)
msg.ui.linux.addEllipsis.accel	添加(_A)...
msg.ui.linux.discard.accel	放弃(_D)
msg.ui.linux.browseEllipsis.accel	浏览(_W)...
msg.ui.linux.browseEllipsis.altAccel	浏览(_B)...
msg.ui.linux.finish.accel	完成(_F)
msg.ui.linux.advancedEllipsis.accel	高级(_V)...
msg.ui.linux.advanced.accel	高级(_V)
msg.ui.linux.done.accel	完成(_D)
msg.ui.linux.mb	MB
msg.ui.linux.memory	内存
msg.ui.linux.specifyTheAmountOfPeriod	指定分配给此虚拟机的内存量。内存大小必须是 4 MB 的倍数。
msg.ui.linux.memoryForThisVirtualColon	此虚拟机的内存(_M)：
msg.ui.linux.maximumRecommended	推荐的最大内存量\n<small>(超过此大小可能会发生内存交换)</small>
msg.ui.linux.recommendedMemoryColon	推荐内存
msg.ui.linux.guestOsRecommendedColon	客户机操作系统建议的最小值
msg.ui.wizard.clone.title	克隆虚拟机向导
msg.ui.wizard.convertHardware.title	更改硬件兼容性向导
msg.ui.wizard.diskCapacity.recommendedFormat	%s 的推荐大小：%s
msg.ui.wizard.disk.ide	IDE(_I)
msg.ui.wizard.disk.scsi	SCSI(_S)
msg.ui.wizard.disk.sata	SATA(_A)
msg.ui.wizard.disk.nvme	NVMe(_V)
msg.ui.wizard.disk.recommended	%s (推荐)
msg.ui.wizard.vm.guestinfo.userName	用户名(_U)：
msg.ui.wizard.vm.guestinfo.pwdInfo	此密码同时用于用户帐户和 root 帐户。
msg.ui.wizard.vm.guestinfo.autologon	自动登录(_A)(需要密码)
msg.ui.wizard.vm.guestinfo.winserial	Windows 产品密钥
msg.ui.wizard.vm.guestinfo.winvariant	要安装的 Windows 版本
msg.ui.wizard.vm.guestinfo.fullName	全名(_F)：
msg.ui.wizard.vm.guestinfo.password	密码(_W)：
msg.ui.wizard.vm.guestinfo.optional	(可选)
msg.ui.wizard.vm.guestinfo.confirm	确认(_O)：
msg.ui.linux.copy	复制(_Y)
msg.ui.linux.generatePassword	生成(_G)
msg.ui.wizard.vm.guestid.physical	安装光盘(_D)：
msg.ui.wizard.vm.guestid.localPhysical	本地安装光盘(_D)：
msg.ui.wizard.vm.guestid.sessionPhysical	本次会话的安装光盘(_D)：
msg.ui.wizard.vm.guestid.remotePhysical	远程安装光盘(_D)：
msg.ui.wizard.vm.guestid.persistentPhysical	跨会话的安装光盘(_D)：
msg.ui.wizard.vm.guestid.remoteFile	远程安装光盘映像文件 (ISO)(_A)：
msg.ui.wizard.vm.guestid.localFile	本地安装光盘映像文件 (ISO)(_A)：
msg.ui.wizard.vm.guestid.file	安装光盘映像文件 (ISO)(_A)：
msg.ui.wizard.vm.guestid.installersrc	安装操作系统的来源：
msg.ui.wizard.vm.guestid.postpone.desc	将使用空白硬盘创建虚拟机。
msg.ui.wizard.vm.guestid.postpone.radiobtn	稍后安装操作系统(_I)。
msg.ui.wizard.hardware.title	添加硬件向导
msg.ui.wizard.vm.summary.autoPowerOn	创建后自动打开此虚拟机的电源(_A)。
msg.ui.wizard.vm.firmwareEFI	UEFI
msg.ui.wizard.vm.title	新建虚拟机向导
msg.ui.wizard.vm.drivers	输入简易安装的驱动程序位置(_E)：
msg.ui.wizard.vm.pickDriverDir	选择驱动程序文件夹
msg.ui.wizard.vm.firmwareBIOS	BIOS
msg.ui.wizard.vm.secureBoot	Secure Boot
msg.ui.wizard.minversion.warning	%s 默认创建 %s 的首选项将不适用。
